Id;Name;Description;Increase Attribute;Increase Attribute Desc;Focus;Spoken Languages;Writen Languages;Race;Classe;Image
tevinter_altus;Altus Tévintide;L’Empire tévintide est l’un des rares endroits de Thédas où les mages ne sont pas sous la coupe de la Chantrie. Cette situation a d’ailleurs été l’une des principales causes du schisme au sein du culte. L’Empire possède son propre Divin et sa propre Chantrie, bien que cette institution soit bien moins puissante que celle qui siège en Orlaïs. En des temps reculés, l’Empire était dirigé par des magistères, dont on prétend que c’est l’orgueil qui a mené à la création des engeances et des Enclins. Après qu'Andrasté a libéré les esclaves elfes et transmis le Cantique de la lumière au Nord, les mages ont été contrôlés pour un temps, mais ce n’est plus le cas. Les altus sont les mages nobles qui règnent sur l’Empire.;magic;Les lignées de mages sont soigneusement étudiées dans l’Empire tévintide et celles des familles nobles sont les plus puissantes.;leadership&arcane_lore;trade_tongue&tevinter;trade_tongue&tevinter;human;mage;
avvar;Alvar;Les Alvars sont un peuple rude qui vit dans les Dorsales de givre. Il y a des siècles, ils étaient l’une des nombreuses tribus barbares à vivre en Férelden et dans les régions environnantes. Quand les clans alamarri s’unirent il y a 400 ans autour du premier roi de Férelden, les Alvars refusèrent de se joindre à eux. Ils étaient trop indépendants, trop fiers et trop obstinés pour reconnaître un roi. Leurs raids permanents vers les basses terres entraînèrent des guerres longues et amères, mais ils ne pouvaient pas résister seuls contre les Féreldiens unis. Ils furent repoussés jusque dans leurs montagnes, mais aucun commandeur n’osa les affronter sur leur propre terrain. Une paix tendue existe depuis entre les Alvars et Férelden.&Aujourd’hui, les Alvars sont très isolés dans les Dorsales de givre. Ils font du commerce avec les nains, et certains Alvars descendent dans les basses terres pour travailler en tant que mercenaires ou aventuriers. La plupart des Féreldiens considèrent les Alvars comme des barbares primitifs, tandis que ceux-ci jugent leurs vieux ennemis faibles et corrompus. Il n’est donc pas surprenant que des raids aient encore lieu de temps à autre depuis les montagnes, mais les Alvars ont appris à frapper vite et à se retirer vers leur domaine avant la contre-attaque.;strength;Les Alvars doivent être forts pour survivre dans les montagnes.;animal_handling&climbing;trade_tongue;;human;warrior&rogue;avvar.png
apostate_human;Apostat;Pendant la majorité de l’histoire de Thédas, dans les nations extérieures à l’Empire tévintide (y compris en Férelden), seuls les membres du Cercle des mages sont autorisés par la loi à pratiquer la magie. Ceux qui enfreignent cette loi sont appelés apostats. Le Cercle des mages est censé trouver les humains et les elfes dotés de pouvoirs magiques et les former avant qu’ils ne deviennent dangereux pour eux-mêmes et pour les autres. Tous ceux qui pratiquent la magie sont susceptibles de succomber à une possession démoniaque qui les transformerait en abomination. Par ailleurs, le risque existe toujours qu’un mage se tourne vers les arts interdits que pratiquaient les inquisiteurs de l’Empire tévintide, une dangereuse magie du sang fondée sur les sacrifices rituels qui asservit l’esprit des autres. C’est pourquoi la Chantrie de chaque tour du Cercle compte des templiers qui sont également chargés de traquer les apostats.&Même si la loi met tous les apostats sur le même pied, cette catégorie est vaste. Certains apostats sont des mages autodidactes qui ont appris à se servir de la magie en expérimentant. Certains sont issus de traditions magiques datant d’avant la formation du Cercle des mages, comme les rebouteux et les chamans alvariens. D’autres sont des rebelles qui s’opposent au Cercle des mages, à la Chantrie ou aux deux. Ils refusent de se soumettre à la loi et choisissent de suivre leur propre voie malgré les risques que cela implique.&Si vous choisissez de jouer un apostat, votre personnage souffrira d’un désavantage que les autres historiques n’ont pas. En l’occurrence, les pouvoirs de votre personnage devront être utilisés avec prudence de peur d’attirer une attention indésirable de la part du Cercle des mages ou des templiers de la Chantrie. le bon côté de la chose, c'est que ce conflit peut amener d’excellentes histoires, mais il est important de comprendre que votre personnage devra faire face à des défis supplémentaires par rapport aux autres.;willpower;Un apostat doit avoir une volonté bien trempée pour résister à la possession démoniaque.;natural_lore&self_discipline;trade_tongue;trade_tongue;human;mage;
apostate_elf;Apostat;Pendant la majorité de l’histoire de Thédas, dans les nations extérieures à l’Empire tévintide (y compris en Férelden), seuls les membres du Cercle des mages sont autorisés par la loi à pratiquer la magie. Ceux qui enfreignent cette loi sont appelés apostats. Le Cercle des mages est censé trouver les humains et les elfes dotés de pouvoirs magiques et les former avant qu’ils ne deviennent dangereux pour eux-mêmes et pour les autres. Tous ceux qui pratiquent la magie sont susceptibles de succomber à une possession démoniaque qui les transformerait en abomination. Par ailleurs, le risque existe toujours qu’un mage se tourne vers les arts interdits que pratiquaient les inquisiteurs de l’Empire tévintide, une dangereuse magie du sang fondée sur les sacrifices rituels qui asservit l’esprit des autres. C’est pourquoi la Chantrie de chaque tour du Cercle compte des templiers qui sont également chargés de traquer les apostats.&Même si la loi met tous les apostats sur le même pied, cette catégorie est vaste. Certains apostats sont des mages autodidactes qui ont appris à se servir de la magie en expérimentant. Certains sont issus de traditions magiques datant d’avant la formation du Cercle des mages, comme les rebouteux et les chamans alvariens. D’autres sont des rebelles qui s’opposent au Cercle des mages, à la Chantrie ou aux deux. Ils refusent de se soumettre à la loi et choisissent de suivre leur propre voie malgré les risques que cela implique.&Si vous choisissez de jouer un apostat, votre personnage souffrira d’un désavantage que les autres historiques n’ont pas. En l’occurrence, les pouvoirs de votre personnage devront être utilisés avec prudence de peur d’attirer une attention indésirable de la part du Cercle des mages ou des templiers de la Chantrie. le bon côté de la chose, c'est que ce conflit peut amener d’excellentes histoires, mais il est important de comprendre que votre personnage devra faire face à des défis supplémentaires par rapport aux autres.;willpower;Un apostat doit avoir une volonté bien trempée pour résister à la possession démoniaque.;natural_lore&self_discipline;trade_tongue;trade_tongue;elven;mage;apostate_elf.png
fereldan_craftsman;Artisan Féreldien;Les artisans forment l’essentiel de la classe moyenne en Férelden, au-dessus des hommes libres mais en dessous des nobles. Cette classe se divise en une série de guildes. La plupart des guildes sont en effet en charge d’un artisanat comme la forge, la sculpture sur bois ou la construction, mais deux d’entre elles sont des exceptions. La première est la guilde des Négociants, qui est une organisation de marchands. Elle a été fondée à l’origine par des nains de la surface, car les barbares turbulents de Férelden n’avaient que mépris pour les intermédiaires. Les nains ont toujours le contrôle de la guilde, mais la majorité de l’activité au jour le jour est à présent le fait de Féreldiens. La deuxième exception est la Chantrie, qui est considérée comme appartenant à la classe des artisans. Ce statut donne aux prêtres une position honorifique mais pas autant d’influence que le souhaiterait la Chantrie. Elle possède bien plus de pouvoir politique dans d’autres pays, en particulier Orlaïs.&Les artisans féreldiens deviennent moins fréquemment aventuriers que les hommes libres. Leurs vies sont en général plus réglées et la plupart ont des obligations envers leur guilde ou la Chantrie. On trouve pourtant toujours des individus qui attendent plus de choses de leur vie, qu’il s’agisse d’un armurier en quête de métaux rares, d’un explorateur voulant ouvrir de nouvelles routes commerciales ou d’un prêtre à la recherche d’artefacts anciens.;dexterity;Les artisans sont habiles de leurs mains.;crafting&religious_lore;trade_tongue;trade_tongue;human;warrior&rogue;fereldan_craftsman.png
nevarran_adventurer;Aventurier Névarrien;Névarra faisait autrefois partie des Marches libres, et ce serait peut-être encore le cas sans le génie militaire du clan Pentaghast. Une série de souverains forts et de brillants généraux a permis à Névarra de s’étendre pour devenir une puissante nation à part entière. Sa victoire contre Orlaïs lors d’une guerre de l’ère des Bontés a renforcé ce statut en lui permettant d’annexer les collines riches en minerais situées à l’ouest de son territoire. Malgré une tradition militaire bien établie, personne n’aurait pensé cette jeune nation capable de vaincre l’empire et ses célèbres chevaliers. Les collines sont toujours sous contrôle névarrien aujourd’hui, mais sont secouées par des troubles réguliers. Les Névarriens taxent lourdement leurs nouveaux sujets, et Orlaïs encourage la sédition.&Les Névarriens sont fiers de leur tradition héroïque et le pays est plein de statues qui célèbrent celle-ci. Névarra est particulièrement réputée pour ses chasseurs de dragons, dont on pensait qu’ils avaient éradiqué ces créatures jusqu’au début de l’ère actuelle. Leurs exploits romanesques exercent un fort attrait sur les jeunes du pays et nombre d’entre eux partent eux-mêmes à l’aventure à travers Thédas. Tous espèrent être eux aussi un jour le sujet de chansons et de statues dans leur patrie.;willpower;Il faut une grande force intérieure pour partir affronter les défis de Thédas.;might&courage;trade_tongue&orlesian;trade_tongue&orlesian;human;warrior&rogue;nevarran_adventurer.png
seheron_convert;Converti de Séhéron;Séhéron est une grande île majoritairement couverte de jungle, située au nord de l’Empire tévintide. Elle a fait partie de l’empire pendant de nombreux siècles, mais a été conquise par les qunari pendant l’ère de l’Acier. Depuis lors, la Chantrie impériale a lancé d’innombrables offensives contre les qunari sur Séhéron, et les combats y sont féroces. Les qunari ont même perdu l’île pendant l’ère des Tempêtes, mais l’ont reconquise pendant l’ère des Bontés. Lorsque Séhéron faisait encore partie de l’Empire tévintide, on y trouvait une importante population d’esclaves elfes. Nombre d’entre eux (ainsi que certains humains) se sont convertis au Qun, ce qui leur donne un bien meilleur statut.&Vous pouvez aussi utiliser cet historique pour représenter un converti rivaini, dans la mesure où le Qun a exercé une forte influence en Riveïn.;willpower;Adopter les préceptes du Qun exige une grande force mentale.;qun&self_discipline;trade_tongue&qunlat&tevinter;trade_tongue&qunlat&tevinter;human&elven;warrior&rogue;
walking_sea_raider;Ecumeur;On appelle Écumeurs les pirates de la mer d’Écume. De nombreux chefs pirates y opéraient autrefois individuellement, mais pendant les marches exaltées contre les qunari, les nations de Thédas ont eu besoin d’un soutien naval dans leur guerre. Les vaisseaux pirates se sont rassemblés pour former la Felicisima Armada et ont offert ce précieux soutien. Une fois les marches exaltées terminées, beaucoup espéraient que l’Armada serait dissoute, mais les pirates avaient pris conscience de la puissance de leur unité et les Écumeurs ont persisté. Cela ne signifie pas que les luttes intestines n’existent pas, mais toute menace qui les concerne tous déclenche une féroce riposte commune.;dexterity;La vie de marin exige une grande agilité.;acrobatics&seeing;trade_tongue;trade_tongue;human&elven&dwarf;warrior&rogue;walking_sea_raider.png
city_elf;Elfe Citadin;On raconte qu’il y a plus de deux mille ans de cela, les elfes et les nains étaient les puissances dominantes de Thédas. Les elfes régnaient sur la surface et les nains sous la terre. Les elfes consacraient des siècles à devenir des maîtres magiciens, artisans et artistes et on dit qu’ils étaient presque immortels. Quand les humains arrivèrent en Thédas, les elfes les aidèrent malgré des comportements qu’ils considéraient comme impatients et vulgaires de leur part. Ils furent choqués quand des maladies apportées par les humains commencèrent à les tuer. Ils furent horrifiés quand ils découvrirent que la simple proximité des humains réduisait leur longévité et les rendait mortels. Ils essayèrent de s’isoler du reste de Thédas, mais l’Empire tévintide en pleine expansion les attaqua avec ses légions et sa magie du sang. Le royaume elfe d’Arlathan tomba et les survivants restèrent esclaves de l’Empire pendant les cinq siècles qui suivirent.&Quand la liberté leur revint, elle fut bien trop courte. La nouvelle patrie des elfes, la Dalatie, essaya de ressusciter la culture perdue d’Arlathan. Celle-ci incluait le culte de l’ancien panthéon elfe, et la Chantrie ne le toléra pas. Elle déclara une marche exaltée contre la Dalatie en accusant les elfes de pratiquer la magie du sang et d’autres rites interdits, et pour la deuxième fois les elfes perdirent tout. Certains des survivants devinrent des errants (reportez-vous à l’entrée sur les elfes dalatiens), mais le reste fut absorbé par les différents royaumes humains. Les elfes dits citadins y vivent en citoyens de seconde zone, travaillant principalement comme domestiques et ouvrier agricoles. Peu d’entre eux se souviennent de la culture de leurs ancêtres, ils sont encore moins nombreux à parler l’elfique, et presque aucun ne vit plus vieux que les humains de nos jours. Ils occupent des quartiers séparés des villes et des villages, appelés bascloîtres. Amers et opprimés, de nombreux elfes citadins se tournent vers le crime. Ces voyous bien trop nombreux ne font que renforcer les préjugés qu’ont la plupart des humains envers les elfes citadins.;dexterity;Les elfes citadins ont conservé l’agilité naturelle de leur peuple.;stealth&seeing;trade_tongue;trade_tongue;elven;warrior&rogue;city_elf.png
dalish_elf;Elfe Dalatien;Après 500 ans d’esclavage, les elfes gagnèrent leur liberté au cours de la révolte qui brisa la puissance de l’Empire tévintide. Alors que les humains libérés et les barbares du sud partaient à la conquête des anciennes terres de l’Empire, la meneuse humaine Andrasté offrit aux elfes une région au sud d’Orlaïs en récompense de leur rôle dans la révolte. Ils y établirent la Dalatie, une nouvelle patrie elfique pour remplacer le royaume détruit d’Arlathan. Malgré les siècles d’esclavage, les elfes se souvenaient encore d’une grande partie de leur héritage et cette culture connut une renaissance en Dalatie. Dans ce cadre, les elfes recommencèrent à adorer l’ancien panthéon elfe et c’est ce qui finit par causer leur perte. La Chantrie de l’empire orlésien ne pouvait admettre une telle hérésie et déclara une marche exaltée contre la Dalatie. Un second royaume elfe fut détruit et la plupart des survivants partirent vivre sur les terres des humains, devenant les elfes citadins.&Mais ce qu’il restait des dirigeants de la Dalatie refusa de courber l’échine devant les humains. Ils préférèrent choisir une vie d’exil. Ces elfes dalatiens sont les descendants de certaines des plus anciennes familles elfes et conservent un sens profond de leur devoir envers leur peuple. Ils ont pris la responsabilité de préserver la culture et les connaissances elfes, pour enseigner les anciennes coutumes à leurs frères citadins quand viendra le jour où les elfes pourront avoir à nouveau leur propre terre. En attendant, les elfes dalatiens voyagent dans les chariots finement sculptés qu’ils appellent aravels. Surnommés charavels par les humains, les aravels sont tirés par des hahl, une race unique de cerfs dont l’origine remonte au royaume perdu d’Arlathan. Les elfes dalatiens voyagent pour la plupart en petits groupes familiaux et ne restent jamais longtemps au même endroit. La rumeur veut qu’ils aient redécouvert les secrets de la magie elfique, mais si c’est vrai aucun humain n’en a eu la preuve.;willpower;L’obstination des elfes dalatiens est légendaire.;bows&courage;trade_tongue&elven;trade_tongue;elven;warrior&rogue;dalish_elf.png
escaped_elven_slave;Esclave Elfe en Fuite;Les elfes ont été réduits en esclavage pour la première fois quand l’Empire tévintide a conquis le royaume antique d’Arlathan. Après 500 ans de servitude, Andrasté aida les elfes à se libérer et les anciens esclaves participèrent en retour à la victoire contre les Tévintides. Ces événements auraient dû mettre fin à l’esclavage en Thédas, mais ce ne fut pas le cas. L’Empire tévintide renoua lentement avec ses anciennes coutumes et l’esclavage y est ouvertement pratiqué de nos jours. Dans certains bascloîtres, les elfes se vendent eux-mêmes ou vendent leurs proches pour assurer la subsistance de leur famille. Les esclavagistes tévintides opèrent en secret dans tous Thédas, kidnappant des elfes et des membres d’autres peuples qu’ils envoient vers l’Empire en échange de sommes conséquentes. La plupart des esclaves qui parviennent à s’enfuir quittent l’Empire aussi vite que possible, car on n’y accorde aucune pitié aux évadés.&Certains seigneurs esclavagistes ne reculent devant rien pour récupérer leurs « possessions » perdues (en particulier celles formées à la magie), et vont jusqu’à poursuivre les esclaves en fuite dans d’autres pays. Ces fugitifs ont bien du mal à se sentir réellement libres alors que la menace d’une nouvelle capture plane en permanence sur leur tête.;strength;Seuls les forts survivent à la servitude dans l’Empire tévintide.;hearing&might;trade_tongue&tevinter;trade_tongue&tevinter;elven;warrior&rogue&mage;escaped_elven_slave.png
orlesian_student;Etudiant Orlésien;L’université d’Orlaïs à Val-Royeaux est une institution presque unique sur le continent déchiré par la guerre de Thédas. Si les cercles des mages sont des centres d’apprentissage, ils sont consacrés à la magie. L’université est un établissement profane où des nobles venus de tout Thédas profitent de la meilleure éducation qu’il soit possible d’acheter. Les fils aînés se consacrant le plus souvent à une carrière militaire, ce sont en général les cadets qui fréquentent l’université. La pensée est souvent plus libre à l’université que dans la Chantrie, ce qui a parfois mené à des conflits avec des fondamentalistes religieux.&Vous pouvez utiliser cet historique pour représenter un noble d’une autre nation venu à l’université d’Orlaïs pour étudier. Il est indispensable de parler et de lire l’orlésien, puisque la plupart des cours sont donnés dans cette langue.;cunning;L’université accorde une grande valeur à l’intelligence.;persuasion&research;trade_tongue&orlesian;trade_tongue&orlesian;human;warrior&rogue;
