Id;Name;Classes;Requirement;Description;Novice;Journeyman;Master
carousing;Beuverie;warrior&mage&rogue;attribute$communication$1&&attribute$constitution$1;Faire la fête est une seconde nature chez vous.;Vous pouvez boire jusqu’à ce que les autres roulent sous la table. Quand vous faites des tests de Constitution (Grand buveur) dans le cadre d’un test prolongé, le résultat de chacun de vos dés Dragon est augmenté de 1. Vous pouvez ainsi atteindre le seuil de réussite plus vite.;La taverne est comme une deuxième maison pour vous. Choisissez l’une des compétences de Communication suivantes : Jeu ou Séduction. Si vous ratez un test de Communication utilisant la compétence choisie, vous pouvez le relancer mais vous devrez garder le résultat du second jet.;Quand vous passez un bon moment, vous êtes invincible (ou du moins vous le pensez) ! Choisissez l’une des prouesses d’interaction suivantes : Flirt ou Volonté de fer. Vous pouvez accomplir la prouesse choisie pour 3 PP au lieu de 4 normalement, et vous gagnez un bonus de +1 au test en opposition fait pour cette prouesse. Si vous choisissez par exemple Volonté de fer, votre bonus aux tests en opposition est donc de +2 au lieu de +1 normalement.
thievery;Cambriolage;rogue;attribute$dexterity$3;Ce qui est à vous est à vous , ce qui est aux autres aussi d’ailleurs.;Aucune serrure ne vous résiste. Si vous ratez un test de Dextérité (Crochetage), vous pouvez le relancer, mais vous devez garder le résultat du second jet.;Vous êtes familier de nombreux types de pièges. Si vous ratez un test de Dextérité (pièges), vous pouvez le relancer, mais vous devez garder le résultat du second jet.;Vous savez trouver les choses les mieux cachées. Si vous ratez un test de Perception (Fouille), vous pouvez le relancer, mais vous devez garder le résultat du second jet.
horsemanship;Cavalerie;warrior&mage&rogue;focus$riding;Vous êtes un cavalier doué et vous dirigez les chevaux et les bêtes de somme avec facilité.;Vous savez sauter en selle rapidement. Enfourcher une monture est une action libre pour vous.;À cheval, vous êtes rapide comme le vent. Quand vous chevauchez une monture, elle bénéficie d’un bonus de +2 à sa Rapidité.;Vous êtes aussi à l’aise en selle que si vous y étiez né. Vous ajoutez +1 à votre Défense quand vous chevauchez une monture. Vous pouvez aussi refaire vos tests ratés de Dextérité (Équitation), mais vous devez garder le résultat du second jet.
chirurgy;Chirurgie;warrior&mage&rogue;focus$healing;Vous pouvez soigner les blessures et les maladies.;Vous avez été formé à l’art de la chirurgie et vos soins sont rapides et sans risques. Soigner est une action mineure pour vous.;Vous avez les mains d’un guérisseur. Quand vous utilisez l’action soigner, la Santé de votre allié remonte d’un nombre égal à (dé Dragon x 2) + Ruse.;Vos talents de soigneur sont légendaires. Quand vous utilisez l’action soigner, la Santé de votre allié remonte d’un nombre égal à (dé Dragon x 3) + Ruse.
dual_weapon_style;Combat à deux Armes;warrior&rogue;attribute$dexterity$2;Vous êtes capable de combattre en tenant une arme dans votremain directrice (votre arme principale) et une autre dans l’autremain (votre arme secondaire). Ni l’une ni l’autre ne peut être unearme à deux mains, et la Force minimale nécessaire pour manierl’arme secondaire est augmentée de 2 (vous devez avoir uneForce d’au moins 1 pour manier une épée courte comme armesecondaire, par exemple). Sauf précision contraire, vos attaquessont faites avec l’arme principale.;Le fait de manier deux armes peut vous aider à attaquer ou à vous défendre. Si vous utilisez l’action activer, vous bénéficiez jusqu’à la fin de la rencontre soit d’un bonus de +1 à vos jets d’attaque au corps à corps, soit d’un bonus de +1 à votre Défense contre les attaques au corps à corps. Vous pouvez changer de bonus grâce à une nouvelle action activer.;Vous pouvez accomplir l’exploit Attaque éclair pour 2 PP au lieu de 3 normalement, mais la seconde attaque doit être faite avec votre arme secondaire.;Vous pouvez faire pleuvoir sur vos adversaires une pluie de coups de vos deux armes. Si vous effectuez une attaque de corps à corps avec votre arme principale et que vous n’êtes pas en train de charger, vous pouvez effectuer une autre attaque avec votre arme secondaire au prix d’une action mineure. La seconde attaque ne peut pas générer de points de prouesse, et vous n’ajoutez que la moitié de votre Force (arrondie à l’inférieur) aux dégâts.
two_hander_style;Combat à deux Mains;warrior;attribute$strength$3#weapon_group$bludgeons&weapon_group$axes&weapon_group$spears&weapon_group$heavy_blades;Vous êtes redoutable quand vous maniez une arme de corps àcorps à deux mains.;L’allonge de votre arme et la puissance de vos attaques obligent vos ennemis à céder du terrain. Quand une de vos attaques de corps à corps avec une arme à deux mains touche, vous pouvez déplacer la cible de 2 mètres dans n’importe quelle direction.;Vous assénez des coups terrifiants de votre arme. Quand vous maniez une arme à deux mains, vous pouvez accomplir l’exploit Coup puissant pour 1 PP au lieu de 2 normalement.;Vous ne faites plus qu’un avec votre arme. Quand vous maniez une arme à deux mains, vous pouvez choisir de relancer vos dégâts, mais vous devez conserver le résultat du second jet.
pole_weapon_style;Combat à l'Arme d'Hast;warrior;weapon_group$polearms&weapon_group$spears;Les armes d’hast peuvent être malaisées à manier, mais pas entrevos mains. Vous pouvez utiliser ce style de combat avec unepique ou n’importe quelle arme du groupe des Armes d’hast.;Vous savez tirer parti de l’allonge de votre arme. Vous considérez comme s’ils étaient adjacents à vous les ennemis jusqu’à 4 mètres de vous, et vous pouvez donc les attaquer au corps à corps (ils ne peuvent par contre pas vous attaquer à moins d’avoir eux aussi ce talent). Un allié situé entre vous et votre adversaire ne vous empêche pas d’attaquer, au contraire : il s’agit en fait d’une tactique répandue.;Quand on vous laisse vous préparer, il devient difficile de vous faire bouger. Vous pouvez utiliser une action activer pour vous ancrer au sol. Jusqu’à la fin de la rencontre, tout adversaire qui tente d’utiliser la prouesse Escarmouche ou le grade Novice du talent Combat à deux mains contre vous doit d’abord faire un jet d’attaque en opposition. Si vous l’emportez, votre adversaire ne parvient pas à vous déplacer et ses points de prouesse sont perdus. Si votre adversaire l’emporte, il peut accomplir sa ou ses prouesses Escarmouche.;Vous tirez le meilleur parti des spécificités de votre arme. Si vous maniez une fourche de guerre ou une pique, vous pouvez accomplir la prouesse Défaut de l’armure pour 1 PP au lieu de 2 normalement. Si vous maniez un fauchard ou une hallebarde, vous pouvez accomplir la prouesse Mise à terre pour 1 PP au lieu de 2 normalement. De plus les combattants montés ne gagnent pas le bonus de +1 accordé contre un adversaire à pied quand ils vous attaquent.
unarmed_style;Combat à Mains Nues;warrior&mage&rogue;weapon_group$brawling;Vous vous débrouillez dans les bagarres à mains nues.;Vos poings sont durs comme le fer. Quand vous attaquez avec votre poing, vous infligez 1d6 dégâts au lieu d’1d3.;Vos directs peuvent étendre les adversaires les plus résistants. Quand vous attaquez avec vos poings ou un gantelet, vous pouvez accomplir la prouesse Mise à terre pour 1 PP au lieu de 2 normalement.;Vous ne pouvez jamais être désarmé, mais ce n’est pas le cas de vos adversaires. Quand vous accomplissez la prouesse Désarmement, vous gagnez un bonus de +2 à votre jet d’attaque lors du test en opposition.
weapon_shield_style;Combat à une Arme et Bouclier;warrior;attribute$strength$2;Vous vous êtes entraîné à combattre avec une arme de corps à corps à une main et un bouclier.;Vous savez manier des boucliers de toutes les formes et toutes les tailles. Vous bénéficiez de l’intégralité du bonus de Défense quand vous utilisez un bouclier.;Vous savez tirer le meilleur parti de votre bouclier. Vous pouvez accomplir l’exploit Posture défensive au prix d’1 PP au lieu de 2 normalement.;Vos adversaires ont bien du mal à déjouer vos défenses. Le bonus de bouclier de tous les boucliers que vous utilisez augmente de 1.
single_weapon_style;Combat à une seul Arme;warrior&rogue;attribute$perception$2;Vous combattez efficacement au corps à corps avec une unique arme à une main.;Combattre avec une seule arme exige beaucoup d’attention. En utilisant l’action activer, vous bénéficiez d’un +1 à la Défense jusqu’à la fin de la rencontre quand vous combattez dans ce style.;Une seule arme vous suffit pour créer une véritable muraille d’acier. Votre bonus à la Défense passe à +2 quand vous utilisez ce style.;Vous savez affronter plusieurs ennemis en même temps. Les adversaires qui effectuent des attaques de corps à corps contre vous n’obtiennent jamais de bonus à leurs jets d’attaque pour l’avantage numérique.
